securelist;analysis of the malicious ccleaner code allowed us to correlate it with a couple of other backdoors that are known to have been used in the past by apt groups from the axiom umbrella such as apt17 also known as aurora;['APT17', 'Aurora']
securelist;the platinum apt16 evilpost and spivy groups were already known to use this exploit;['Platinum', 'APT16', 'EvilPost', 'SPIVY']
securelist;this variant was also used by the apt16 group elmer backdoor in taiwan in december 2015;['APT16', 'ELMER', 'backdoor']
securelist;the cnc has been used in other apt incidents attributed by fireeye to the group admin338 aka temper panda;['admin@338', 'Temper', 'Panda']
securelist;the twoforone platinum group is described in microsoft research apt16 in fireeye reports and evilpost and danti in kaspersky lab private reports;['APT16', 'EvilPost', 'Danti']
securelist;the mandiant reports starts off by stating that apt1 appears to be a division of the chinese army;['APT1', 'Chinese']
securelist;blackoasis is an apt group we have been tracking since may 2016;['BlackOasis', 'APT']
securelist;in its affidavit for sinkholing the c2 the fbi suggests that sofacy aka apt28 pawn storm sednit strontium and tsar team is the culprit;['Sofacy', 'APT28', 'Pawn', 'Storm', 'Sednit', 'STRONTIUM', 'Tsar', 'Team']
securelist;sofacy group also known as apt28 sandworm xagent pawn storm fancy bear and sednit;['Sofacy', 'apt28', 'sandworm', 'x-agent', 'pawn', 'storm', 'fancy', 'bear', 'sednit']
securelist;sofacy aka apt28 fancy bear and tsar team is a highly active and prolific cyberespionage group that kaspersky lab has been tracking for many years;['Sofacy', 'APT28', 'Fancy', 'Bear', 'Tsar', 'Team']
securelist;sofacy also known as apt28 fancy bear and tsar team is a highly active and prolific apt;['Sofacy', 'APT28', 'Fancy', 'Bear', 'Tsar', 'Team']
securelist;sofacy also known as fancy bear sednit strontium and apt28 is an advanced threat group that has been active since around 2008 targeting mostly military and government entities worldwide with a focus on nato countries;['Sofacy', 'Fancy', 'Bear', 'Sednit', 'STRONTIUM', 'APT28']
crowdstrike;recently in july and august 2018 intrusiontruth has returned with new reporting regarding actors with ties to historic stone panda apt10 activity and has ultimately associated them with the mss tianjin bureau though crowdstrike falcon intelligence is currently unable to confirm all of the details provided in these most recent posts with a high degree of confidence several key pieces of information can be verified;['STONE', 'PANDA', 'APT10']
crowdstrike;although the groups exact motives remain unclear its initial tranche of information exposed individuals connected to longrunning gothic panda apt3 operations culminating in a connection to the chinese firm boyusec and ultimately chinese ministry of state security mss entities in guangzhou;['GOTHIC', 'PANDA', 'APT3']
crowdstrike;as an example we all know comment crew aka comment team aka apt1 aka comment;['Crew', 'Team', 'APT-1', 'Comment']
crowdstrike;this actor has many other names in the information security community including apt29 office monkeys cozycar and cozyduke;['APT-29', 'Office', 'Monkeys', 'CozyCar', 'CozyDuke']
crowdstrike;in his blog dmitri also notes that fancy bear also known as sofacy or apt 28 is a russianbased threat actor whose attacks have ranged far beyond the united states and western europe;['FANCY', 'BEAR', 'Sofacy', 'APT']
crowdstrike;although the groups exact motives remain unclear its initial tranche of information exposed individuals connected to longrunning gothic panda apt3 operations;['GOTHIC', 'PANDA', 'APT3']
crowdstrike;the adversary picked in our evaluation was gothic panda also known as apt3 a sophisticated hacking team linked to the chinese governments ministry of state security mss;['GOTHIC', 'PANDA', 'APT3']
fireeye;the discovery and attribution of apt1 to chinas 2nd bureau of the peoples liberation army pla general staff departments gsd 3rd department military unit cover designator 61398 also elevated the public dialogue about cyber espionage and the theft of intellectual property to a level not seen before;['APT1', 'PLA', 'GSD']
fireeye;apt10 menupass group is a chinese cyber espionage group that fireeye has tracked since 2009;['APT10', 'MenuPass']
fireeye;in july 2018 fireeye devices detected and blocked what appears to be apt10 menupass activity targeting the japanese media sector;['APT10', 'Menupass']
fireeye;the chinabased threat group fireeye tracks as apt3 aka ups;['APT3', 'UPS']
fireeye;cyber espionage actors now designated by fireeye as apt32 oceanlotus group;['APT32', 'OceanLotus']
test;arabian jam is also known as angels hair preserve or more prosaically as carrot jam;['angels', 'carrot', 'jam']
test;peter wilson also known as the tiger;['Peter', 'Wilson', 'Tiger']
test;the universal product code symbol also known as the bar code is printed on products for sale and contains information that a computer can read;['Universal', 'Product', 'Code', 'symbol', 'bar', 'code']
test;asteroids also known as minor planets are numerous in the outer space;['Asteroids', 'minor', 'planets']
test;this is also known as the citric acid cycle or krebs cycle;['This', 'citric', 'acid', 'cycle', 'Krebs', 'cycle']
test;the post is sometimes also known as administrative assistant;['administrative', 'assistant', 'post']
test;the spot rate is also known as the basic rate or telegraphic transfer rate;['basic', 'rate', 'telegraphic', 'transfer', 'rate', 'spot', 'rate']
test;glastyn also known as glashtyn a field sprite who frequents farmhouses on the isle of man;['Glastyn', 'Glashtyn']
test;this cave also known as diccan pot must be regarded as absolutely out of bounds for all but hardy and experienced cavers;['cave', 'Diccan', 'Pot']
test;the astral body also known as the emotional body reflects most of the auric colouring;['astral', 'body', 'emotional', 'body']
test;the lowdensity lipoproteins also known as the beta lipoproteins have an electrophoretic mobility which is slightly slower than the prebeta fraction;['low-density', 'lipoproteins', 'beta', 'lipoproteins']
test;porches also known as bellends can be found anywhere on the tent depending on the design;['Porches', 'bellends']
test;it is thought that chronic fatigue syndrome also known as myalgic encephalopathy me can be triggered by viruses including flu;['chronic', 'fatigue', 'syndrome', 'myalgic', 'encephalopathy', 'ME']
